id,numero,titulo,director,anio_estreno,pais_origen,fecha_vista,anio_visto,es_revisionado,estado_enriquecimiento,fuente,genero,animo,sinopsis,poster_url,rating_externo,notas_ia
P0087-1,87,Rampage,Brad Peyton,2018,USA,2019-08-18,2018,No,Migrada,CSV historico,,,,,,
P0088-1,88,The end of the tour,James Ponsoldt,2015,USA,2019-08-23,2018,No,Migrada,CSV historico,,,,,,
P0089-1,89,Toc Toc,Vicente Villanueva,2017,España,2019-08-24,2018,No,Migrada,CSV historico,,,,,,
P0090-1,90,The human centipede,Tom Six,2009,Alemania/Holanda,2019-08-30,2018,No,Migrada,CSV historico,,,,,,
P0091-1,91,Magic Mike,Steven Soderbergh,2012,USA,2019-09-09,2018,No,Migrada,CSV historico,,,,,,
P0092-1,92,Freaky Friday,Mark Waters,2003,USA,2019-09-16,2018,No,Migrada,CSV historico,,,,,,
P0093-1,93,Popstar,Akiva Schaffer,2016,USA,2019-09-20,2018,No,Migrada,CSV historico,,,,,,
P0094-1,94,The purge 3,James DeMonaco,2016,USA,2019-09-22,2018,No,Migrada,CSV historico,,,,,,
P0095-1,95,Mandy,Panos Cosmatos,2018,USA/Canada,2019-10-22,2018,Si,Migrada,CSV historico,,,,,,
P0096-1,96,Sepultura Endurance,Otávio Juliano,2017,Brasil,2019-10-22,2018,No,Migrada,CSV historico,,,,,,
P0097-1,97,The interview,Seth Rogen/Evan Goldberg,2014,USA,2019-10-29,2018,No,Migrada,CSV historico,,,,,,
P0098-1,98,The girl with the dragon tatto,David Fincher,2011,USA/UK/Suecia/Alemania,2019-11-02,2018,No,Migrada,CSV historico,,,,,,
P0099-1,99,El bonaerense,Pablo Trapero,2002,Argentina,2019-11-03,2018,No,Migrada,CSV historico,,,,,,
P0100-1,100,Bohemian Rapsody,Bryan Singer,2018,UK/USA,2019-11-07,2018,No,Migrada,CSV historico,,,,,,
P0101-1,101,Quincy,Rashida Jones/Alan Hicks,2018,USA,2019-11-08,2018,No,Migrada,CSV historico,,,,,,
P0102-1,102,Hereditary,Ari Aster,2018,USA,2019-11-10,2018,No,Migrada,CSV historico,,,,,,
P0103-1,103,The last sharnado,Anthony C. Ferrante,2018,USA,2019-11-24,2018,No,Migrada,CSV historico,,,,,,
P0104-1,104,The brothers Grimsby,Louis Leterrier,2016,UK/USA,2019-11-27,2018,Si,Migrada,CSV historico,,,,,,
P0105-1,105,Sucio y desprolijo: La historia del heavy argentino,Paula Álvarez/Lucas Lot Calabró,2015,Argentina,2019-12-08,2018,No,Migrada,CSV historico,,,,,,
P0106-1,106,Cosquin Rock,Rubén Francisco Mostaza,2016,Argentina,2019-12-16,2018,No,Migrada,CSV historico,,,,,,
P0107-1,107,Que sea Rock,Sebastian Schindel,2006,Argentina,2019-12-16,2018,No,Migrada,CSV historico,,,,,,
P0108-1,108,Dawn of the dead,Zack Snyder,2004,USA/Canada,2019-12-17,2018,Si,Migrada,CSV historico,,,,,,
P0109-1,109,The social network,David Fincher,2010,USA,2019-12-19,2018,No,Migrada,CSV historico,,,,,,
P0110-1,110,Bring me the head of Alfredo Garcia,Sam Peckinpah,1974,USA/Mexico,2019-12-20,2018,No,Migrada,CSV historico,,,,,,
P0111-1,111,Training day,Antoine Fuqua,2001,USA,2019-12-21,2018,No,Migrada,CSV historico,,,,,,
P0112-1,112,Wolves at the door,John R. Leonetti,2016,USA,2019-12-22,2018,No,Migrada,CSV historico,,,,,,
P0113-1,113,Phantom thread,Paul Thomas Anderson,2017,USA,2019-12-23,2018,No,Migrada,CSV historico,,,,,,
P0114-1,114,Gone girl,David Fincher,2014,USA,2019-12-26,2018,No,Migrada,CSV historico,,,,,,
P0115-1,115,Jaws,Steven Spielberg,1975,USA,2019-12-26,2018,No,Migrada,CSV historico,,,,,,
P0116-1,116,The ballad of Buster Scruggs,Ethan Coen/Joel Coen,2018,USA,2019-12-27,2018,Si,Migrada,CSV historico,,,,,,
P0117-1,117,Halloween,John Carpenter,1978,USA,2019-12-28,2018,No,Migrada,CSV historico,,,,,,
P0118-1,118,Assault on precint 13,John Carpenter,1976,USA,2019-12-31,2018,No,Migrada,CSV historico,,,,,,
P0001-1,1,Big trouble in little China,John Carpenter,1986,USA,2019-01-01,2019,No,Migrada,CSV historico,,,,,,
P0002-1,2,American Ganster,Ridley Scott,2007,USA,2019-01-02,2019,No,Migrada,CSV historico,,,,,,
P0003-1,3,Bowie: the man who changed the world,Sonia Anderson,2016,UK,2019-01-02,2019,No,Migrada,CSV historico,,,,,,
P0004-1,4,Asalto y violacion en calle 69,Pablo Bellini,1991,Argentina,2019-01-03,2019,No,Migrada,CSV historico,,,,,,
P0005-1,5,The boy in the striped pijama,Mark Herman,2008,UK/USA,2019-01-03,2019,No,Migrada,CSV historico,,,,,,
P0006-1,6,Coco,Lee Unkrich,2017,USA/Mexico,2019-01-04,2019,Si,Migrada,CSV historico,,,,,,
P0007-1,7,Good Will hunting,Gus Van Sant,1997,USA,2019-01-04,2019,No,Migrada,CSV historico,,,,,,
P0008-1,8,The man who knew infinity,Matthew Brown,2015,UK,2019-01-05,2019,No,Migrada,CSV historico,,,,,,
P0009-1,9,The lobster,Yorgos Lanthimos,2015,Irlanda/UK/Grecia/Francia,2019-01-08,2019,Si,Migrada,CSV historico,,,,,,
P0010-1,10,kamchatka,Marcelo Piñeyro,2002,Argentina,2019-01-08,2019,No,Migrada,CSV historico,,,,,,
P0011-1,11,Jumanji: Welcome to the jungle,Jake Kasdan,2017,USA,2019-01-09,2019,No,Migrada,CSV historico,,,,,,
